Similalirity,T1,T2,ST3,MT3,WT3/T4,Negative
100,1.00,0.05,0.06,0.00,0.00,1.00
95,1.00,0.83,0.16,0.00,0.00,1.00
90,1.00,0.85,0.26,0.00,0.00,1.00
85,1.00,0.86,0.32,0.01,0.00,1.00
80,1.00,0.87,0.37,0.01,0.00,1.00
75,1.00,0.88,0.40,0.01,0.00,1.00
70,1.00,0.88,0.44,0.02,0.00,1.00
65,1.00,0.88,0.46,0.03,0.00,1.00
60,1.00,0.89,0.49,0.04,0.00,1.00
55,1.00,0.89,0.51,0.05,0.00,1.00
50,1.00,0.90,0.64,0.06,0.00,1.00
45,1.00,0.90,0.66,0.07,0.00,1.00
40,1.00,0.90,0.68,0.09,0.00,1.00
35,1.00,0.95,0.71,0.11,0.00,1.00
30,1.00,0.98,0.74,0.13,0.00,1.00
25,1.00,0.98,0.78,0.17,0.01,0.99
20,1.00,0.98,0.83,0.25,0.01,0.99
15,1.00,0.99,0.89,0.36,0.02,0.98
10,1.00,1.00,0.95,0.53,0.06,0.96
